ir_index_root,ir_page_click_index,ir_access_info_index
swarthmore_inst-schol,swarthmore_inst-schol_page_clicks,swarthmore_inst-schol_access_info
caltech_authors,caltech_authors_page_clicks,caltech_authors_access_info
caltech_thesis,caltech_thesis_page_clicks,caltech_thesis_access_info
colorado,colorado_page_clicks,colorado_access_info
iupui_ir,iupui_ir_page_clicks,iupui_ir_access_info
krex,krex_page_clicks,krex_access_info
massey,massey_page_clicks,massey_access_info
mcmaster,mcmaster_page_clicks,mcmaster_access_info
montana,montana_page_clicks,montana_access_info
northeastern,northeastern_page_clicks,northeastern_access_info
nku,nku_page_clicks,nku_access_info
viurr,viurr_page_clicks,viurr_access_info
rutgers,rutgers_page_clicks,rutgers_access_info
shsu_ir,shsu_ir_page_clicks,shsu_ir_access_info
swarthmore,swarthmore_page_clicks,swarthmore_access_info
epsilon,epsilon_page_clicks,epsilon_access_info
epsilon_students,epsilon_students_page_clicks,epsilon_students_access_info
univ_kentucky,univ_kentucky_page_clicks,univ_kentucky_access_info
md_drum,md_drum_page_clicks,md_drum_access_info
um,um_page_clicks,um_access_info
u_montana,u_montana_page_clicks,u_montana_access_info
unlincoln_dc,unlincoln_dc_page_clicks,unlincoln_dc_access_info
unlv_digital,unlv_digital_page_clicks,unlv_digital_access_info
new_mexico_dc,new_mexico_dc_page_clicks,new_mexico_dc_access_info
shareok,shareok_page_clicks,shareok_access_info
ds_pitt,ds_pitt_page_clicks,ds_pitt_access_info
uop_pearl,uop_pearl_page_clicks,uop_pearl_access_info
strathprints,strathprints_page_clicks,strathprints_access_info
ut_austin,ut_austin_page_clicks,ut_austin_access_info
w_cape_repo,w_cape_repo_page_clicks,w_cape_repo_access_info
w_cape_etd,w_cape_etd_page_clicks,w_cape_etd_access_info
u_waterloo,u_waterloo_page_clicks,u_waterloo_access_info
wollongong,wollongong_page_clicks,wollongong_access_info
md_soar,md_soar_page_clicks,md_soar_access_info
va_tech,va_tech_page_clicks,va_tech_access_info
